,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
0,4,1.6002675987750374,1.6075993713880627,1.6151291175031306,1.6435638432020268,1.7167836788028188,1.5436838039715854,1.5427860738047465,1.5379299809938771,1.7435194489055512,1.627107149961733
1,5,1.5682799718741873,1.6147460916470182,1.5926758485641836,1.5965616600313783,1.7153388570007255,1.5003082899213696,1.5255474842738082,1.502522312140927,1.692372217772298,1.5949807050991167
2,6,1.5663340610387337,1.6290944866699206,1.5819248720601016,1.5636750196986524,1.6509879585197202,1.5478657328507375,1.5467887579098283,1.5226720845283819,1.6439768720109444,1.5715393089644019
3,7,1.5654522204712726,1.6466483595640302,1.5774182828869168,1.5447050419940833,1.4936688004656191,1.5718821646956476,1.5563109007558706,1.615442065470512,1.5989951540993403,1.5594910802606077
4,8,1.571869464324746,1.664442748723362,1.5774324412839384,1.539604378276126,1.362161216387721,1.6046572410830153,1.5617926922439456,1.7616748766192774,1.5593165452800655,1.5546447386490667
5,9,1.5943531683066798,1.680502219429511,1.5820696273734625,1.5473691922977597,1.3010731726197735,1.6737041046811463,1.6991881082643874,1.9148473355910347,1.5268722337805571,1.5611375957728675
6,10,1.6376799615876367,1.693771554564307,1.5924222386583886,1.5658098961305336,1.3141692334245827,1.8052247339948788,1.8892922612400396,2.032820769459586,1.5033004216619181,1.5828925727944678
7,11,1.7054359598224489,1.7039052864439401,1.6096453049999648,1.5918765977024578,1.3844101640354638,1.9972630967710927,2.0483754547241824,2.097365287189391,1.4898354959148736,1.6200584993186808
8,12,1.776234447113172,1.7110186376162566,1.6328865074607082,1.6222360307952637,1.4329152823397706,2.115984059846249,2.2102038289208257,2.111443874848781,1.487132230290738,1.669108815073533
9,13,1.8466713509797004,1.7154756234697277,1.6610679695473507,1.6538226435016554,1.5804887113391228,2.1829223874470376,2.289377123828319,2.08810462106634,1.4950830681057865,1.7262469060180614
10,14,1.9116273249061446,1.7177393128700387,1.6926302178041734,1.6841982223631018,1.7720042212029994,2.2033974915131047,2.33151383600781,2.0418892315725974,1.5127419684135224,1.7913789329288943
11,15,1.9749175891810122,1.7182797509297882,1.7265488427464888,1.711685578133459,1.9731415949794906,2.2395103615369174,2.334325379691172,1.9848359193564524,1.5384134239559093,1.8587076379548777
12,16,2.01918148089355,1.7175248560083336,1.7603042965399258,1.7353277030029,2.058233165581846,2.2231955504318184,2.305952320412573,1.925500618619719,1.5698917853395749,1.927476279005146
13,17,2.0492628432099833,1.715839426977212,1.7924114747558568,1.7547508876560245,2.122969237713149,2.195564097795805,2.259245233046643,1.8693174345603392,1.6047797016410856,1.9891427136359692
14,18,2.052074897615883,1.7135207289253371,1.820235857836311,1.7699986725635861,2.09979893432331,2.160934117582511,2.205930976356435,1.8193416206857451,1.6407963825069467,2.0408805930133442
15,19,2.0389219240939274,1.7108028276050935,1.8427213740907074,1.7813783312510711,2.0712159723184973,2.119276405571272,2.1463556955419976,1.7769699039608404,1.676006990800738,2.078036868313366
16,20,2.011665991946172,1.7078648139797568,1.859084103031836,1.7893386137612775,1.960605288434148,2.0600077417069897,2.0894399467139664,1.7425146274385859,1.7089445543870314,2.1003993263101655
17,21,1.9784253710594784,1.704840130070857,1.8696316997112203,1.7943822841397374,1.8916439573218455,2.006301438819511,2.0340970139145584,1.715622935854023,1.738632509837321,2.109549135797417
18,22,1.940219688488148,1.7018255315198698,1.8746783345234346,1.7970092126322623,1.8495475097554421,1.9542845260925925,1.9809759066412058,1.6955682710300342,1.7645367087319752,2.1053034539673208
19,23,1.8997467877747458,1.698889016844779,1.874772255235708,1.7976830655174885,1.8339757357765738,1.90539135614935,1.9295480596944647,1.6814463441610088,1.7864799848715887,2.092169052938367
20,24,1.8571595665092346,1.6960765021558264,1.8702887180706897,1.7968146647778933,1.834271676613328,1.8556911814513244,1.8772149415517954,1.6723027395827692,1.804546337951987,2.069354849059403
21,25,1.8155702394938846,1.6934172557633271,1.861969446964699,1.7947562753698523,1.8195462648365235,1.8055953016728663,1.825595156810988,1.66721261547884,1.8189921644589917,2.0417649673004203
22,26,1.7750171595525435,1.690928217533978,1.850400046659104,1.791802528605741,1.7883107584839766,1.7574332239380734,1.775151933512648,1.665327247709722,1.830173132010988,2.0084877469823574
23,27,1.7367712656840022,1.6886173681442997,1.8362819268869246,1.7881949970648139,1.7486223140384307,1.7107917574378066,1.7240953515537871,1.6658979082651086,1.8384890204863562,1.973985169640903
24,28,1.701318679756196,1.6864863167211726,1.8203049429922336,1.784128464390008,1.7007725816356611,1.6625597557495673,1.6716381959913305,1.6682845685051622,1.8443452266535003,1.9370201114866854
25,29,1.6691142667846595,1.6845322610123423,1.8031520787951871,1.7797576791079244,1.6487956482762245,1.612570777665355,1.6194453014451498,1.6719548130533852,1.8481280103411897,1.9014230695466596
26,30,1.6397123125378399,1.6827494529391047,1.7853473904376058,1.7752038926556273,1.597195893449868,1.5635669573374122,1.5708547502493062,1.6764768361837254,1.8501901969715189,1.8653696586381283
